No,name,class,eColor,iColor,taste,contexture,size,shape,InSeed,subcategory
0,olive,fruit,"green,purple",green,sour,medium,small,circular,y,NA
1,coconut,fruit,brown,white,unknown,hard,big,circular,n,NA
2,cocoa,fruit,"brown,yellow","white,brown",bitter,medium,medium,oval,y,NA
3,avocado,fruit,"green,black","green,yellow",unknown,soft,medium,oval,y,NA
4,almond,fruit,brown,white,unknown,hard,small,oval,y,NA
5,peanut,fruit,yellow,yellow,unknown,hard,small,oval,y,NA
6,banana,fruit,yellow,white,sweet,soft,medium,thin,n,NA
7,cherry,fruit,red,red,sweet,medium,small,circular,y,NA
8,melon,fruit,orange,orange,sweet,medium,big,circular,y,NA
9,pear,fruit,"green,brown",white,sweet,medium,medium,circular,y,NA
10,water melon,fruit,green,red,sweet,medium,big,oval,y,NA
11,grape,fruit,"green,purple,red",green,"sweet,sour",medium,small,circular,y,NA
12,pineapple,fruit,yellow,yellow,"sweet,sour",medium,big,oval,y,NA
13,kiwi,fruit,brown,green,"sweet,sour",medium,medium,circular,y,NA
14,passion fruit,fruit,yellow,yellow,sour,medium,medium,circular,y,NA
15,orange,fruit,orange,orange,"sweet,sour",medium,medium,circular,y,NA
16,lemon,fruit,"yellow,green","yellow,green",sour,medium,medium,circular,y,NA
17,tomato,fruit,red,red,sour,medium,medium,circular,y,NA
18,mandarin,fruit,"orange,green",orange,"sweet,sour",medium,medium,circular,y,NA
19,peach,fruit,red,yellow,sweet,medium,medium,circular,y,NA
20,guayaba,fruit,"yellow,green",red,"sweet,sour",medium,medium,circular,y,NA
21,mango,fruit,"green,yellow,red","yellow,green","sweet,sour",medium,medium,circular,y,NA
22,raspberry,fruit,"red,purple","red,purple",sour,medium,small,circular,y,NA
23,apple,fruit,"green,red,yellow",white,"sweet,sour",medium,medium,circular,y,NA
24,lettice,vegetable,green,white,unknown,soft,medium,leaf,n,leaf
25,cauliflower,vegetable,white,white,unknown,soft,small,tree,n,inflorescences
26,broccoli,vegetable,green,white,unknown,soft,small,tree,n,inflorescences
27,carrot,vegetable,orange,orange,sweet,medium,medium,thin,n,root
28,patata,vegetable,"yellow,brown","yellow,white",unknown,medium,small,circular,n,tuber
32,ginger,vegetable,gray,white,spicy,medium,small,root,n,rhizome
33,cassava,vegetable,brown,white,unknown,hard,big,root,n,root
34,onion,vegetable,purple,white,unknown,medium,small,circular,n,bulb